,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
752,English Vinglish,(2012),134 min,7.8,****,"37,908",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
753,Vicky Donor,(2012),126 min,7.8,****,"44,643",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
754,A Night at the Opera,(1935),96 min,7.8,****,"33,982",$2.54M,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.
755,Hindi Medium,(2017),132 min,7.8,****,"31,018",%^%^%^,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
756,The Whale,(2022),117 min,7.7,60        ,"173,876",%^%^%^,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
757,Mission: Impossible - Fallout,(2018),147 min,7.7,86        ,"363,072",$220.16M,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
758,Aftersun,(II) (2022),102 min,7.7,95        ,"72,734",%^%^%^,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...
759,The Goonies,(1985),114 min,7.7,62        ,"288,797",$61.50M,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
760,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        ,"656,174",$290.01M,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
761,The Banshees of Inisherin,(2022),114 min,7.7,87        ,"223,860",%^%^%^,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
762,Sicario,(2015),121 min,7.7,82        ,"453,263",$46.89M,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
763,The Hangover,(2009),100 min,7.7,73        ,"818,952",$277.32M,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
764,Coraline,(2009),100 min,7.7,80        ,"249,727",$75.29M,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
765,Wind River,(2017),107 min,7.7,73        ,"266,814",$33.80M,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets."
766,Lost in Translation,(2003),102 min,7.7,91        ,"472,822",$44.59M,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
767,Airplane!,(1980),88 min,7.7,78        ,"252,128",$83.40M,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must land a commercial airplane full of passengers safely."
768,Kingsman: The Secret Service,(2014),129 min,7.7,60        ,"695,405",$128.26M,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
769,Zodiac,(2007),157 min,7.7,79        ,"572,932",$33.08M,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
770,Blazing Saddles,(1974),93 min,7.7,73        ,"146,866",$119.50M,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
771,Ocean's Eleven,(2001),116 min,7.7,74        ,"599,726",$183.42M,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
772,(500) Days of Summer,(2009),95 min,7.7,76        ,"538,653",$32.39M,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
773,What's Eating Gilbert Grape,(1993),118 min,7.7,73        ,"247,111",$9.17M,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
774,Black Hawk Down,(2001),144 min,7.7,74        ,"412,253",$108.64M,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
775,A Few Good Men,(1992),138 min,7.7,62        ,"277,849",$141.34M,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
776,Training Day,(2001),122 min,7.7,71        ,"456,039",$76.63M,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
777,Tangled,(2010),100 min,7.7,71        ,"476,557",$200.82M,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
778,La vie d'Adèle,(2013),180 min,7.7,90        ,"158,877",$2.20M,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
779,Man on Fire,(2004),146 min,7.7,47        ,"376,679",$77.91M,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
780,Home Alone,(1990),103 min,7.7,63        ,"611,178",$285.76M,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve."
781,Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,65        ,"576,491",$295.98M,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
782,Silver Linings Playbook,(2012),122 min,7.7,81        ,"727,795",$132.09M,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
783,Halloween,(1978),91 min,7.7,87        ,"292,160",$47.00M,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
784,Mr. Nobody,(2009),141 min,7.7,63        ,"241,066",$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
785,Blue Velvet,(1986),120 min,7.7,76        ,"208,905",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
786,Y tu mamá también,(2001),106 min,7.7,89        ,"126,731",$13.62M,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
787,The Last of the Mohicans,(1992),112 min,7.7,76        ,"180,161",$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
788,Brokeback Mountain,(2005),134 min,7.7,87        ,"371,762",$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
789,Ex Machina,(2014),108 min,7.7,78        ,"568,050",$25.44M,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
790,The Game,(1997),129 min,7.7,63        ,"414,565",$48.32M,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
791,Primal Fear,(1996),129 min,7.7,47        ,"237,346",$56.12M,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
792,Midnight in Paris,(2011),94 min,7.7,81        ,"439,375",$56.82M,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
793,The Magnificent Seven,(1960),128 min,7.7,74        ,"99,479",$4.91M,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
794,The Boondock Saints,(1999),108 min,7.7,44        ,"245,339",$0.03M,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
795,The Dirty Dozen,(1967),150 min,7.7,73        ,"76,943",$45.30M,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
796,Deliverance,(1972),109 min,7.7,80        ,"115,976",$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
797,Apollo 13,(I) (1995),140 min,7.7,77        ,"306,815",$173.84M,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
798,The Count of Monte Cristo,(2002),131 min,7.7,61        ,"144,651",$54.23M,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
799,Happiness,(1998),134 min,7.7,81        ,"72,824",$2.81M,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection."
800,Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,7.7,87        ,"651,270",$42.34M,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
801,The Lego Movie,(2014),100 min,7.7,83        ,"376,872",$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
802,The Boy in the Striped Pajamas,(2008),94 min,7.7,55        ,"234,383",$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
803,The French Connection,(1971),104 min,7.7,94        ,"130,319",$15.63M,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
804,X: First Class,(2011),131 min,7.7,65        ,"710,535",$146.41M,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
805,First Blood,(1982),93 min,7.7,61        ,"266,018",$47.21M,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
806,Crash,(I) (2004),112 min,7.7,66        ,"444,293",$54.58M,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
807,Argo,(2012),120 min,7.7,86        ,"629,048",$136.03M,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
808,"O Brother, Where Art Thou?",(2000),107 min,7.7,69        ,"323,102",$45.51M,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
809,Druk,(2020),117 min,7.7,79        ,"179,868",%^%^%^,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
810,Gravity,(2013),91 min,7.7,96        ,"846,787",$274.09M,Two astronauts work together to survive after an accident leaves them stranded in space.
811,Kaze tachinu,(2013),126 min,7.7,83        ,"92,522",$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
812,Philadelphia,(1993),125 min,7.7,66        ,"251,640",$77.32M,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
813,Donnie Brasco,(1997),127 min,7.7,76        ,"321,167",$41.91M,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
814,Wreck-It Ralph,(2012),101 min,7.7,72        ,"443,796",$189.42M,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
815,3:10 to Yuma,(2007),122 min,7.7,76        ,"324,018",$53.61M,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
816,Road to Perdition,(2002),117 min,7.7,72        ,"278,251",$104.45M,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
817,Toy Story 4,(2019),100 min,7.7,84        ,"267,910",$434.04M,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
818,Who Framed Roger Rabbit,(1988),104 min,7.7,83        ,"210,644",$156.45M,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
819,Serpico,(1973),130 min,7.7,83        ,"130,177",$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
820,Sense and Sensibility,(1995),136 min,7.7,84        ,"121,595",$43.18M,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
821,When Harry Met Sally...,(1989),95 min,7.7,76        ,"231,548",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
822,Star Trek Into Darkness,(2013),132 min,7.7,72        ,"492,031",$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
823,Bonnie and Clyde,(1967),111 min,7.7,86        ,"117,617",%^%^%^,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
824,As Good as It Gets,(1997),139 min,7.7,67        ,"310,471",$148.48M,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
825,The Color Purple,(1985),154 min,7.7,78        ,"91,921",$98.47M,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
826,Dirty Harry,(1971),102 min,7.7,87        ,"163,985",$35.90M,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath."
827,Goldfinger,(1964),110 min,7.7,87        ,"197,537",$51.08M,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
828,En man som heter Ove,(2015),116 min,7.7,70        ,"65,151",$3.48M,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
829,Der Name der Rose,(1986),130 min,7.7,54        ,"112,959",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
830,The Theory of Everything,(2014),123 min,7.7,71        ,"469,396",$35.89M,A look at the relationship between the famous physicist Stephen Hawking and his wife.
831,Fried Green Tomatoes,(1991),130 min,7.7,64        ,"79,121",$82.42M,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.
832,Sound of Metal,(2019),120 min,7.7,82        ,"141,051",%^%^%^,A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence.
833,The Fault in Our Stars,(2014),126 min,7.7,69        ,"391,575",$124.87M,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
834,GATTACA,(1997),106 min,7.7,64        ,"315,224",$12.34M,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
835,Empire of the Sun,(1987),153 min,7.7,62        ,"131,280",$22.24M,A young English boy struggles to survive under Japanese occupation of China during World War II.
836,The Trial of the Chicago 7,(2020),129 min,7.7,76        ,"187,120",%^%^%^,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
837,Naked,(1993),131 min,7.7,85        ,"42,149",$1.77M,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
838,Paprika,(2006),90 min,7.7,81        ,"90,306",$0.88M,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
839,The Bourne Supremacy,(2004),108 min,7.7,73        ,"477,445",$176.24M,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
840,Detachment,(2011),98 min,7.7,52        ,"93,917",$0.07M,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
841,Kurenai no buta,(1992),94 min,7.7,83        ,"96,192",%^%^%^,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
842,Glengarry Glen Ross,(1992),100 min,7.7,82        ,"112,149",$10.73M,An examination of the machinations behind the scenes at a real estate office.
843,Kung fu,(2004),99 min,7.7,78        ,"146,569",$17.11M,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
844,Clerks,(1994),92 min,7.7,70        ,"228,690",$3.15M,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
845,Being John Malkovich,(1999),113 min,7.7,90        ,"346,604",$22.86M,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
846,The Verdict,(1982),129 min,7.7,77        ,"43,998",$54.00M,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
847,The Longest Day,(1962),178 min,7.7,75        ,"57,946",$39.10M,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
848,Adaptation.,(2002),115 min,7.7,83        ,"198,705",$22.25M,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
849,Lucky Number Slevin,(2006),110 min,7.7,53        ,"320,909",$22.49M,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
850,Evil Dead II,(1987),84 min,7.7,72        ,"176,095",$5.92M,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
851,Star Trek II: The Wrath of Khan,(1982),113 min,7.7,68        ,"126,607",$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
852,This Is England,(2006),101 min,7.7,86        ,"126,080",$0.33M,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
853,Ray,(I) (2004),152 min,7.7,73        ,"153,821",$75.33M,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
854,Roma,(2018),135 min,7.7,96        ,"165,415",%^%^%^,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
855,Belle de jour,(1967),100 min,7.7,****,"47,131",$0.03M,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
856,The Broken Circle Breakdown,(2012),111 min,7.7,70        ,"42,396",$0.18M,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
857,Malcolm X,(1992),202 min,7.7,73        ,"99,187",$48.17M,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination."
858,Flipped,(I) (2010),90 min,7.7,45        ,"94,498",$1.75M,Two eighth-graders start to have feelings for each other despite being total opposites.
859,La grande bellezza,(2013),141 min,7.7,86        ,"95,096",$2.85M,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
860,Ordinary People,(1980),124 min,7.7,86        ,"55,041",$54.80M,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
861,Billy Elliot,(2000),110 min,7.7,74        ,"139,533",$22.00M,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
862,Finding Neverland,(2004),106 min,7.7,67        ,"209,853",$51.68M,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
863,"South Park: Bigger, Longer & Uncut",(1999),81 min,7.7,73        ,"211,190",$52.04M,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
864,Miller's Crossing,(1990),115 min,7.7,66        ,"139,227",$5.08M,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
865,Madeo,(2009),129 min,7.7,79        ,"68,770",$0.55M,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
866,The Quiet Man,(1952),129 min,7.7,85        ,"40,916",$10.55M,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
867,Me and Earl and the Dying Girl,(2015),105 min,7.7,74        ,"135,723",$6.74M,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
868,Zwartboek,(2006),145 min,7.7,71        ,"78,978",$4.40M,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
869,Lola rennt,(1998),81 min,7.7,77        ,"203,548",$7.27M,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
870,Kubo and the Two Strings,(2016),101 min,7.7,84        ,"135,350",$48.02M,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
871,Badlands,(1973),94 min,7.7,93        ,"76,236",%^%^%^,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands."
872,Spoorloos,(1988),107 min,7.7,****,"41,593",%^%^%^,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
873,Ajeossi,(2010),119 min,7.7,****,"72,740",$0.01M,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
874,The Last Emperor,(1987),163 min,7.7,76        ,"108,332",$43.98M,"Bernardo Bertolucci's Oscar-winning dramatisation of the life story of China's last emperor, Pu Yi."
875,Hamlet,(1996),242 min,7.7,****,"39,207",$4.41M,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
876,Beasts of No Nation,(2015),137 min,7.7,79        ,"84,840",$0.08M,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
877,La planète sauvage,(1973),72 min,7.7,73        ,"34,952",$0.19M,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
878,Abre los ojos,(1997),119 min,7.7,****,"71,794",$0.37M,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
879,Fantasia,(1940),124 min,7.7,96        ,"100,933",$76.41M,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
880,Night on Earth,(1991),129 min,7.7,68        ,"63,833",$2.02M,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
881,Short Cuts,(1993),188 min,7.7,81        ,"46,482",$6.11M,The day-to-day lives of several suburban Los Angeles residents.
882,Cape Fear,(1962),106 min,7.7,76        ,"30,684",%^%^%^,A lawyer's family is stalked by a man he once helped put in jail.
883,Frost/Nixon,(2008),122 min,7.7,80        ,"110,825",$18.59M,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
884,À bout de souffle,(1960),90 min,7.7,****,"85,597",$0.34M,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
885,Nebraska,(2013),115 min,7.7,86        ,"120,941",$17.65M,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
886,Waking Life,(2001),99 min,7.7,84        ,"65,946",$2.89M,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
887,Omoide no Marnie,(2014),103 min,7.7,72        ,"44,772",$0.77M,"Due to 12-year-old Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie?"
888,Invasion of the Body Snatchers,(1956),80 min,7.7,92        ,"52,828",%^%^%^,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
889,Zulu,(1964),138 min,7.7,77        ,"41,392",%^%^%^,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.
890,Black Narcissus,(1947),101 min,7.7,86        ,"26,553",%^%^%^,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad."
891,Perfetti sconosciuti,(2016),96 min,7.7,****,"68,949",%^%^%^,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles."
892,The African Queen,(1951),105 min,7.7,91        ,"82,190",$0.54M,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
893,Chun gwong cha sit,(1997),96 min,7.7,70        ,"32,360",$0.19M,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.
894,Good Bye Lenin!,(2003),121 min,7.7,68        ,"150,194",$4.06M,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
895,La double vie de Véronique,(1991),98 min,7.7,86        ,"51,404",$2.00M,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
896,Gongdong gyeongbi guyeok JSA,(2000),110 min,7.7,58        ,"32,806",%^%^%^,"After a shooting incident at the North-South Korean border DMZ leaves two North Korean soldiers dead, a neutral Swiss and Swedish team investigates what actually happened."
897,Down by Law,(1986),107 min,7.7,75        ,"53,957",$1.44M,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
898,Key Largo,(1948),100 min,7.7,****,"43,025",%^%^%^,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
899,Wait Until Dark,(1967),108 min,7.7,81        ,"32,541",$17.55M,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.
900,The Caine Mutiny,(1954),124 min,7.7,63        ,"28,991",$21.75M,"When a U.S. Naval captain shows signs of mental instability that jeopardises the ship, the first officer is urged to consider relieving him of command."
901,Hedwig and the Angry Inch,(2001),95 min,7.7,85        ,"36,775",$3.03M,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
902,Le Petit Prince,(2015),108 min,7.7,70        ,"64,903",$1.34M,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
903,Lat sau san taam,(1992),128 min,7.7,****,"52,667",%^%^%^,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
904,Diarios de motocicleta,(2004),126 min,7.7,75        ,"103,497",$16.78M,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.
905,Ta'm e guilass,(1997),95 min,7.7,80        ,"34,156",$0.31M,An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.
906,Scarface,(1932),93 min,7.7,90        ,"29,375",%^%^%^,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
907,A Man for All Seasons,(1966),120 min,7.7,72        ,"36,244",$28.35M,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
908,Yume,(1990),119 min,7.7,****,"27,997",$1.96M,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.
