,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,The Shawshank Redemption,(1994),142 min,9.3,82        ,"2,791,412",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,The Godfather,(1972),175 min,9.2,100        ,"1,944,251",$134.97M,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
2,The Dark Knight,(2008),152 min,9.0,84        ,"2,771,584",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
3,Schindler's List,(1993),195 min,9.0,95        ,"1,403,825",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
4,The Godfather Part II,(1974),202 min,9.0,90        ,"1,320,883",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
5,The Lord of the Rings: The Return of the King,(2003),201 min,9.0,94        ,"1,911,935",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
6,12 Angry Men,(1957),96 min,9.0,97        ,"829,187",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
7,Pulp Fiction,(1994),154 min,8.9,95        ,"2,141,421",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,Spider-Man: Across the Spider-Verse,(2023),140 min,8.8,86        ,"243,688",#18,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
9,Inception,(2010),148 min,8.8,74        ,"2,460,657",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
10,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,940,131",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
11,Fight Club,(1999),139 min,8.8,67        ,"2,225,626",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
12,Forrest Gump,(1994),142 min,8.8,82        ,"2,171,482",$330.25M,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
13,"Il buono, il brutto, il cattivo",(1966),161 min,8.8,90        ,"787,486",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
14,The Lord of the Rings: The Two Towers,(2002),179 min,8.8,87        ,"1,725,303",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
15,Jai Bhim,(2021),164 min,8.8,****,"209,719",#219,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
16,777 Charlie,(2022),136 min,8.8,****,"36,308",%^%^%^,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
17,Interstellar,(2014),169 min,8.7,74        ,"1,978,079",$188.02M,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
18,Goodfellas,(1990),145 min,8.7,92        ,"1,211,208",$46.84M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
19,The Matrix,(1999),136 min,8.7,73        ,"1,985,270",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
